 INFO  Accepting connections at http://localhost:3001
 HTTP  10/18/2025 12:49:05 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 12:49:05 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 12:49:05 AM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 12:49:05 AM ::1 Returned 304 in 33 ms
 HTTP  10/18/2025 12:49:05 AM ::1 GET /manifest.json
 HTTP  10/18/2025 12:49:05 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 12:49:05 AM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 12:49:05 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 12:49:05 AM ::1 GET /logo192.png
 HTTP  10/18/2025 12:49:05 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 12:49:23 AM ::1 GET /chat/user/3
 HTTP  10/18/2025 12:49:23 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 12:49:24 AM ::1 GET /static/js/main.e15f86e9.js
 HTTP  10/18/2025 12:49:24 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 12:49:24 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 12:49:24 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 12:49:24 AM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 12:49:24 AM ::1 Returned 304 in 38 ms
 HTTP  10/18/2025 12:49:24 AM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 12:49:24 AM ::1 GET /manifest.json
 HTTP  10/18/2025 12:49:24 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 12:49:24 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 12:49:24 AM ::1 GET /logo192.png
 HTTP  10/18/2025 12:49:24 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 12:49:58 AM ::1 GET /chat/user/3
 HTTP  10/18/2025 12:49:58 AM ::1 Returned 304 in 11 ms
 HTTP  10/18/2025 12:49:58 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 12:49:58 AM ::1 GET /static/js/main.e15f86e9.js
 HTTP  10/18/2025 12:49:58 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 12:49:58 AM ::1 Returned 304 in 5 ms
 HTTP  10/18/2025 12:49:58 AM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 12:49:58 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 12:49:59 AM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 12:49:59 AM ::1 GET /manifest.json
 HTTP  10/18/2025 12:49:59 AM ::1 Returned 304 in 19 ms
 HTTP  10/18/2025 12:49:59 AM ::1 Returned 304 in 16 ms
 HTTP  10/18/2025 12:49:59 AM ::1 GET /logo192.png
 HTTP  10/18/2025 12:49:59 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 12:51:39 AM ::1 GET /chat/user/3
 HTTP  10/18/2025 12:51:39 AM ::1 Returned 304 in 21 ms
 HTTP  10/18/2025 12:51:40 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 12:51:40 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 12:51:40 AM ::1 GET /static/js/main.e15f86e9.js
 HTTP  10/18/2025 12:51:40 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 12:51:40 AM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 12:51:40 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 12:51:40 AM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 12:51:40 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 12:51:40 AM ::1 GET /manifest.json
 HTTP  10/18/2025 12:51:40 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 12:51:40 AM ::1 GET /logo192.png
 HTTP  10/18/2025 12:51:40 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 12:51:41 AM ::1 GET /chat/user/3
 HTTP  10/18/2025 12:51:41 AM ::1 Returned 304 in 22 ms
 HTTP  10/18/2025 12:51:41 AM ::1 GET /static/js/main.e15f86e9.js
 HTTP  10/18/2025 12:51:41 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 12:51:41 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 12:51:41 AM ::1 Returned 304 in 0 ms
 HTTP  10/18/2025 12:51:41 AM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 12:51:41 AM ::1 Returned 304 in 19 ms
 HTTP  10/18/2025 12:51:41 AM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 12:51:41 AM ::1 GET /manifest.json
 HTTP  10/18/2025 12:51:41 AM ::1 Returned 304 in 168 ms
 HTTP  10/18/2025 12:51:41 AM ::1 Returned 304 in 22 ms
 HTTP  10/18/2025 12:51:41 AM ::1 GET /logo192.png
 HTTP  10/18/2025 12:51:41 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 12:51:52 AM ::1 GET /chat/user/3
 HTTP  10/18/2025 12:51:52 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 12:51:52 AM ::1 GET /static/js/main.e15f86e9.js
 HTTP  10/18/2025 12:51:52 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 12:51:52 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 12:51:52 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 12:51:52 AM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 12:51:52 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 12:51:52 AM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 12:51:52 AM ::1 GET /manifest.json
 HTTP  10/18/2025 12:51:52 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 12:51:52 AM ::1 Returned 304 in 17 ms
 HTTP  10/18/2025 12:51:52 AM ::1 GET /logo192.png
 HTTP  10/18/2025 12:51:52 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 12:51:53 AM ::1 GET /chat/user/3
 HTTP  10/18/2025 12:51:53 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 12:51:53 AM ::1 GET /static/js/main.e15f86e9.js
 HTTP  10/18/2025 12:51:53 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 12:51:53 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 12:51:53 AM ::1 Returned 304 in 6 ms
 HTTP  10/18/2025 12:51:53 AM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 12:51:53 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 12:51:53 AM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 12:51:53 AM ::1 Returned 304 in 7 ms
 HTTP  10/18/2025 12:51:53 AM ::1 GET /manifest.json
 HTTP  10/18/2025 12:51:53 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 12:51:53 AM ::1 GET /logo192.png
 HTTP  10/18/2025 12:51:53 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 12:52:00 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 12:52:00 AM ::1 GET /manifest.json
 HTTP  10/18/2025 12:52:00 AM ::1 Returned 304 in 12 ms
 HTTP  10/18/2025 12:52:00 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 12:52:00 AM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 12:52:00 AM ::1 Returned 200 in 5 ms
 HTTP  10/18/2025 12:52:00 AM ::1 GET /static/css/main.0425fd25.css.map
 HTTP  10/18/2025 12:52:00 AM ::1 Returned 200 in 61 ms
 HTTP  10/18/2025 12:52:00 AM ::1 GET /static/js/main.e15f86e9.js.map
 HTTP  10/18/2025 12:52:00 AM ::1 Returned 200 in 2 ms
 HTTP  10/18/2025 12:53:30 AM ::1 GET /chat/user/3
 HTTP  10/18/2025 12:53:30 AM ::1 Returned 304 in 16 ms
 HTTP  10/18/2025 12:53:30 AM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 12:53:30 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 12:53:55 AM ::1 GET /chat/user/3
 HTTP  10/18/2025 12:53:55 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 12:53:55 AM ::1 GET /static/js/main.e15f86e9.js
 HTTP  10/18/2025 12:53:55 AM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 12:53:55 AM ::1 Returned 304 in 5 ms
 HTTP  10/18/2025 12:53:55 AM ::1 Returned 304 in 13 ms
 HTTP  10/18/2025 12:53:55 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 12:53:55 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 12:53:55 AM ::1 GET /static/css/main.0425fd25.css.map
 HTTP  10/18/2025 12:53:55 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 12:53:55 AM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 12:53:55 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 12:53:55 AM ::1 GET /static/js/main.e15f86e9.js.map
 HTTP  10/18/2025 12:53:55 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 12:53:56 AM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 12:53:56 AM ::1 GET /manifest.json
 HTTP  10/18/2025 12:53:56 AM ::1 Returned 304 in 40 ms
 HTTP  10/18/2025 12:53:56 AM ::1 Returned 304 in 5 ms
 HTTP  10/18/2025 12:53:56 AM ::1 GET /logo192.png
 HTTP  10/18/2025 12:53:56 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 12:55:24 AM ::1 GET /static/media/2-beach-volleyball.32a282af39d062e68f81.png
 HTTP  10/18/2025 12:55:24 AM ::1 GET /static/media/bike.f0ed12c3d6f44feba1ee.png
 HTTP  10/18/2025 12:55:24 AM ::1 Returned 304 in 105 ms
 HTTP  10/18/2025 12:55:24 AM ::1 Returned 304 in 27 ms
 HTTP  10/18/2025 12:55:24 AM ::1 GET /static/media/1-heros.461ab0f882e7d83e575f.png
 HTTP  10/18/2025 12:55:24 AM ::1 GET /static/media/3-football.25ca3e0f99bd6cab1b02.png
 HTTP  10/18/2025 12:55:24 AM ::1 Returned 304 in 9 ms
 HTTP  10/18/2025 12:55:24 AM ::1 GET /static/media/tennis.0f7f8a874257eca4ca64.png
 HTTP  10/18/2025 12:55:24 AM ::1 GET /static/media/l-football.d40489630f020c8a5844.png
 HTTP  10/18/2025 12:55:24 AM ::1 Returned 304 in 37 ms
 HTTP  10/18/2025 12:55:24 AM ::1 Returned 304 in 38 ms
 HTTP  10/18/2025 12:55:24 AM ::1 GET /static/media/padel.db9efbe33a5229546532.png
 HTTP  10/18/2025 12:55:24 AM ::1 GET /static/media/l-running.615dd61bf940a54bd60a.png
 HTTP  10/18/2025 12:55:24 AM ::1 Returned 304 in 46 ms
 HTTP  10/18/2025 12:55:24 AM ::1 Returned 304 in 15 ms
 HTTP  10/18/2025 12:55:24 AM ::1 GET /static/media/matchleague_logo_4x4.5703e6151d94c6c3fdfa.png
 HTTP  10/18/2025 12:55:24 AM ::1 GET /static/media/l-tennis.8d3957bb2d6fe5fd44c8.png
 HTTP  10/18/2025 12:55:24 AM ::1 Returned 304 in 25 ms
 HTTP  10/18/2025 12:55:24 AM ::1 Returned 304 in 26 ms
 HTTP  10/18/2025 12:55:24 AM ::1 Returned 304 in 42 ms
 HTTP  10/18/2025 1:04:37 AM ::1 GET /user/1
 HTTP  10/18/2025 1:04:37 AM ::1 Returned 200 in 22 ms
 HTTP  10/18/2025 1:04:37 AM ::1 GET /static/js/main.e15f86e9.js
 HTTP  10/18/2025 1:04:37 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 1:04:37 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 1:04:37 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 1:04:37 AM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 1:04:37 AM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 1:04:37 AM ::1 Returned 304 in 6 ms
 HTTP  10/18/2025 1:04:37 AM ::1 GET /static/js/main.e15f86e9.js.map
 HTTP  10/18/2025 1:04:37 AM ::1 Returned 304 in 9 ms
 HTTP  10/18/2025 1:04:37 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 1:04:37 AM ::1 GET /static/css/main.0425fd25.css.map
 HTTP  10/18/2025 1:04:37 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 1:04:37 AM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 1:04:37 AM ::1 Returned 304 in 45 ms
 HTTP  10/18/2025 1:04:37 AM ::1 GET /manifest.json
 HTTP  10/18/2025 1:04:37 AM ::1 Returned 304 in 48 ms
 HTTP  10/18/2025 1:04:37 AM ::1 GET /logo192.png
 HTTP  10/18/2025 1:04:37 AM ::1 Returned 304 in 0 ms
 HTTP  10/18/2025 1:04:38 AM ::1 GET /static/media/matchleague_logo_4x4.5703e6151d94c6c3fdfa.png
 HTTP  10/18/2025 1:04:38 AM ::1 GET /static/media/1-heros.461ab0f882e7d83e575f.png
 HTTP  10/18/2025 1:04:38 AM ::1 GET /static/media/3-football.25ca3e0f99bd6cab1b02.png
 HTTP  10/18/2025 1:04:38 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 1:04:38 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 1:04:38 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 1:04:38 AM ::1 GET /static/media/2-beach-volleyball.32a282af39d062e68f81.png
 HTTP  10/18/2025 1:04:38 AM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 1:04:38 AM ::1 GET /static/media/l-football.d40489630f020c8a5844.png
